Taxon_orig,Taxon_orig.authority,中文名,拉丁名,科名,大类,保护等级,href,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,resolved_match_type,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_status,clonality,clonal_means,clonal_type,source,refs,c_score,s_score,r_score,n.prov,invasion_level
Pistia stratiotes,L.,大薸,Pistia stratiotes,天南星科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/7,Exact (with author),FALSE,1,0,156674,Pistia stratiotes,L.,Species,Accepted,NA,317684-2,156674,0,2,Exact (with author),156674,317684-2,Species,Accepted,Araceae,NA,Pistia,NA,stratiotes,NA,NA,NA,L.,NA,Sp. Pl.,: 963,-1753,NA,Tropics & Subtropics,helophyte,wet tropical,Pistia stratiotes,L.,156674,NA,NA,NA,156655,317684-2,NA,Y,Matched to an accepted name,clonal,Stolon,aboveground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,22,1
Eichhornia crassipes,(Mart.) Solms,凤眼蓝,Eichhornia crassipes,雨久花科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/23,Exact (with author),FALSE,1,0,242133,Eichhornia crassipes,(Mart.) Solms,Species,Synonym,TRUE,1198589-2,259467,0,13,Exact (with author),259467,310928-2,Species,Accepted,Pontederiaceae,NA,Pontederia,NA,crassipes,NA,NA,NA,Mart.,NA,Nov. Gen. Sp. Pl. Bras.,1:09,-1823,NA,S. Trop. America,hydroperennial,wet tropical,Pontederia crassipes,Mart.,259467,NA,NA,NA,259440,310928-2,NA,Y,Matched to an accepted name,clonal,Stolon,aboveground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,32,1
Lolium temulentum,L.,毒麦,Lolium temulentum,禾本科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/46,Exact (with author),FALSE,1,0,422908,Lolium temulentum,L.,Species,Accepted,NA,407516-1,422908,0,2,Exact (with author),422908,407516-1,Species,Accepted,Poaceae,NA,Lolium,NA,temulentum,NA,NA,NA,L.,NA,Sp. Pl.,: 83,-1753,NA,"Macaronesia, N. Africa, Temp. Eurasia",annual,subtropical,Lolium temulentum,L.,422908,NA,NA,NA,422752,407516-1,NA,Y,Matched to an accepted name,clonal,Tiller,aboveground,CLO-PLA3,wang et al. 2016,33.44711409250302,25.657543049855033,40.89534285764195,30,1
Spartina alterniflora,Loisel.,互花米草,Spartina alterniflora,禾本科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/51,Exact (with author),FALSE,1,0,443751,Spartina alterniflora,Loisel.,Species,Synonym,TRUE,422425-1,497662,0,7,Exact (with author),497662,77144694-1,Species,Accepted,Poaceae,NA,Sporobolus,NA,alterniflorus,NA,NA,Loisel.,P.M.Peterson & Saarela,NA,Taxon,63: 1236,-2014,NA,"E. Canada to E. Mexico, Lesser Antilles to Argentina",perennial or rhizomatous geophyte,temperate,Sporobolus alterniflorus,(Loisel.) P.M.Peterson & Saarela,497662,443751,NA,NA,443991,77144694-1,NA,Y,Matched to an accepted name,clonal,Rhizome/Tiller,both,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,13,1
Sorghum halepense,(L.) Pers.,石茅,Sorghum halepense,禾本科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/81,Exact (with author),FALSE,1,0,443460,Sorghum halepense,(L.) Pers.,Species,Accepted,NA,422139-1,443460,0,10,Exact (with author),443460,422139-1,Species,Accepted,Poaceae,NA,Sorghum,NA,halepense,NA,NA,L.,Pers.,NA,Syn. Pl.,0.111805556,-1805,NA,Macaronesia to C. Asia and Indo-China,perennial or rhizomatous geophyte,subtropical,Sorghum halepense,(L.) Pers.,443460,419044,NA,NA,443224,422139-1,NA,Y,Matched to an accepted name,clonal,Rhizome,belowground,CLO-PLA3,wang et al. 2016,50.68624359315141,27.803879773733307,21.50987663311529,26,1
Mimosa bimucronata,(DC.) Kuntze,光荚含羞草,Mimosa bimucronata,豆科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/105,Exact (with author),FALSE,1,0,2510696,Mimosa bimucronata,(DC.) Kuntze,Species,Accepted,NA,161532-2,2510696,0,12,Exact (with author),2510696,161532-2,Species,Accepted,Fabaceae,NA,Mimosa,NA,bimucronata,NA,NA,DC.,Kuntze,NA,Revis. Gen. Pl.,0.179166667,-1891,NA,Bolivia to Brazil and NE. Argentina,shrub or tree,seasonally dry tropical,Mimosa bimucronata,(DC.) Kuntze,2510696,2611447,NA,NA,2374559,161532-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,9,1
Dysphania ambrosioides,(L.) Mosyakin & Clemants,土荆芥,Dysphania ambrosioides,苋科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/253,Exact (with author),FALSE,1,0,2780223,Dysphania ambrosioides,(L.) Mosyakin & Clemants,Species,Accepted,NA,1198060-2,2780223,0,24,Exact (with author),2780223,1198060-2,Species,Accepted,Amaranthaceae,NA,Dysphania,NA,ambrosioides,NA,NA,L.,Mosyakin & Clemants,NA,Ukrayins'k. Bot. Zhurn.,59: 382,-2002,NA,"America, Subantarctic Is.",perennial,temperate,Dysphania ambrosioides,(L.) Mosyakin & Clemants,2780223,2717029,NA,NA,2780222,1198060-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,36.928934005106,2.406852583633146,60.664213411260846,27,1
Celosia argentea,L.,青葙,Celosia argentea,苋科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/261,Exact (with author),FALSE,1,0,2707791,Celosia argentea,L.,Species,Accepted,NA,316350-2,2707791,0,2,Exact (with author),2707791,316350-2,Species,Accepted,Amaranthaceae,NA,Celosia,NA,argentea,NA,NA,NA,L.,NA,Sp. Pl.,: 205,-1753,NA,Trop. Africa,annual,seasonally dry tropical,Celosia argentea,L.,2707791,NA,NA,NA,2707777,316350-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,34,1
Amaranthus palmeri,S. Watson,长芒苋,Amaranthus palmeri,苋科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/271,Exact (without author),FALSE,1,0,2633009,Amaranthus palmeri,S.Watson,Species,Accepted,NA,327376-2,2633009,1,6,Exact (without author),2633009,327376-2,Species,Accepted,Amaranthaceae,NA,Amaranthus,NA,palmeri,NA,NA,NA,S.Watson,NA,Proc. Amer. Acad. Arts,0.690277778,-1877,NA,S. California to Texas and Mexico,annual,subtropical,Amaranthus palmeri,S.Watson,2633009,NA,NA,NA,2632636,327376-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,25,1
Amaranthus retroflexus,L.,反枝苋,Amaranthus retroflexus,苋科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/274,Exact (with author),FALSE,1,0,2633061,Amaranthus retroflexus,L.,Species,Accepted,NA,10698-2,2633061,0,2,Exact (with author),2633061,10698-2,Species,Accepted,Amaranthaceae,NA,Amaranthus,NA,retroflexus,NA,NA,NA,L.,NA,Sp. Pl.,: 991,-1753,NA,Mexico,annual,temperate,Amaranthus retroflexus,L.,2633061,NA,NA,NA,2632636,10698-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,50.99514140590185,23.236508017193355,25.7683505769048,NA,1
